0,"организация находиться в ведение минфин россия перечень и функция организация находиться в ведение минфин россия field name english description russian description format наименование организаци Name of the organization наименование организация находиться в ведение минфин россия string руководитель организация CEO руководитель string юридический адрес Legal address юридический адрес string юридический адрес код кладр Legal address KLADR юридический адрес код кладр string почтовый адрес Postal address почтовый адрес string почтовый адрес код кладр Postal address KLADR почтовый адрес код кладр string координата широта Latitude координата широта string координата долгота Longitude координата долгота string адрес электронный почта Email адрес электронный почта string сайт WebSite адрес официальный сайт организация string телефон Telephone number телефон string факс Fax факс string задача и функция Functions and tasks размер оплата труд на вакантный должность string 
"
1," план контрольный деятельность осуществлять административный департамент министерство финансы российский федерация план по осуществление проверка в подведомственный министерство финансы российский федерация федеральный государственный казенный учреждение фгку в ход контроль по уровень подведомственность xs element name table coll xs complexType xs sequence xs element name п п type xs string xs element name тема проверка type xs string xs element name количество участник контрольный группа с учет руководитель работник финансовый контроль принимать участие в проведение проверка type xs string xs element name вынести по результат проведение проверка представление о ненадлежащий исполнение бюджет и принятие мера по устранение выявлять нарушение бюджетный законодательство дата номер type xs string xs element name нарушение срок с учет продление проведение проверка в тот число внеплановый проверка количество день type xs string xs element name сумма средство федеральный бюджет в отношение который выявлять нарушение бюджетный законодательство российский федерация руб type xs string xs element name количество выявлять нарушение бюджетный законодательство российский федерация type xs string xs element name количество обращение на решение действие бездействие участник контрольный группа или работник финансовый контроль признанный в установленный порядок обоснованный type xs string 
"
2," отчет о контрольный деятельность административный департамент информация о результат плановый и внеплановый проверка проводить минфин россия в предел его полномочие а также о результат проверка проводить в минфин россия и его подведомственный организация xs element name table coll xs complexType xs sequence xs element name п п type xs string xs element name тема проверка type xs string xs element name количество участник контрольный группа с учет руководитель работник финансовый контроль принимать участие в проведение проверка type xs string xs element name вынести по результат проведение проверка представление о ненадлежащий исполнение бюджет и принятие мера по устранение выявлять нарушение бюджетный законодательство дата номер type xs string xs element name нарушение срок с учет продление проведение проверка в тот число внеплановый проверка количество день type xs string xs element name сумма средство федеральный бюджет в отношение который выявлять нарушение бюджетный законодательство российский федерация руб type xs string xs element name количество выявлять нарушение бюджетный законодательство российский федерация type xs string xs element name количество обращение на решение действие бездействие участник контрольный группа или работник финансовый контроль признанный в установленный порядок обоснованный type xs string 
"
3," расход консолидированный бюджет субъект российский федерация на финансирование жилищный коммунальный хозяйство в часть компенсация разница между экономически обоснованный тариф и тариф устанавливать для население и покрытие убыток возникать в связь с применение регулировать цена на жилищный коммунальный услуга показатель отражать объем расход консолидированный бюджет субъект российский федерация в часть компенсация разница между экономически обоснованный тариф и тариф устанавливать для население и покрытие убыток возникать в связь с применение регулировать цена на жилищный коммунальный услуга field name english description russian description format временной промежуток год Time period year временной промежуток год string отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
4," объем просрочивать кредиторский задолженность государственный муниципальный учреждение показатель отражать объем кредиторский задолженность государственный муниципальный учреждение срок исполнение который проходить field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
5," задолженность бюджет субъект российский федерация и бюджет муниципальный образование по исполнение обязательство перед гражданин показатель отражать объем задолженность консолидированный бюджет субъект российский федерация по исполнение обязательство перед гражданин срок исполнение который проходить field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
6," доля налоговый и неналоговый доход бюджет муниципальный район в общий объем доход бюджет муниципальный район без учет субвенция показатель отражать доля налоговый и неналоговый доход бюджет муниципальный район в общий объем собственный доход бюджет муниципальный район field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
7," расход консолидированный бюджет субъект российский федерация в часть расход на оплата труд работник орган государственный власть и орган местный самоуправление показатель отражать объем расход консолидированный бюджет субъект российский федерация на оплата труд работник орган государственный власть и орган местный самоуправление field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
8," показатель отражать расход консолидированный бюджет субъект российский федерация на реализация программа энергосбережение и повышение энергетический эффективность расход консолидированный бюджет субъект российский федерация на реализация программа в область энергосбережение и повышение энергетический эффективность field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
9," доля расход консолидированный бюджет субъект российский федерация формировать в рамка программа в общий объем расход консолидированный бюджет субъект российский федерация без учет субвенция на исполнение делегировать полномочие показатель отражать доля программный расход консолидированный бюджет субъект российский федерация field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
10," доля расход консолидированный бюджет субъект российский федерация на финансирование услуга социальный сфера оказывать автономный учреждение и негосударственный немуниципальный организация в общий объем расход консолидированный бюджет субъект рф на финансирование отрасль социальный сфера показатель отражать доля расход консолидированный бюджет субъект российский федерация оказывать автономный учреждение и негосударственный немуниципальный организация на финансирование услуга социальный сфера field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
11," доля расход консолидированный бюджет субъект рф на оказание бюджетный услуга оказывать негосударственный немуниципальный организация в общий объем расход консолидированный бюджет субъект рф на финансирование бюджетный услуга показатель отражать доля расход консолидированный бюджет субъект рф оказывать негосударственный немуниципальный организация на оказание бюджетный услуга field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
12," отношение объем государственный долг субъект российский федерация по состояние на январь год следовать за отчетный к общий годовой объем доход бюджет субъект российский федерация в отчетный финансовый год без учет объем безвозмездный поступление отношение государственный долг субъект российский федерация к доход субъект российский федерация без уч тот безвозмездный поступление рассчитываться по следующий формула I Vgdi Vdi Vbpi где Vgdi объем государственный долг субъект российский федерация по состояние на январь год следовать за отчетный который определяться в соответствие с информация из государственный долговой книга субъект российский федерация Vdi общий объем доход бюджет субъект российский федерация по состояние на январь год следовать за отчетный который определяться по данные отчет об исполнение консолидированный бюджет субъект российский федерация на соответствующий дата Vbpi объем безвозмездный поступление в бюджет субъект российский федерация по состояние на январь год следовать за отчетный который определяться по данные отчет об исполнение консолидированный бюджет субъект российский федерация на соответствующий дата field name english description russian description format субъект российский федерация State of the Russian Federation субъект российский федерация string отношение объем государственный долг субъект российский федерация по состояние на январь год следовать за отчетный к общий годовой объем доход бюджет субъект российский федерация в отчетный финансовый год без учет объем безвозмездный поступление The ratio of public debt of the Russian Federation at January to the revenue budget of the Russian Federation without taking into account the level of grant income отношение объем государственный долг субъект российский федерация по состояние на январь год следовать за отчетный к общий годовой объем доход бюджет субъект российский федерация в отчетный финансовый год без учет объем безвозмездный поступление percent 
"
13," государственный внутренний долг российский федерация в соответствие со статья бюджетный кодекс российский федерация внутренний долг являться обязательство возникать в валюта российский федерация в соответствие с часть статья бюджетный кодекс российский федерация в объем государственный внутренний долг российский федерация включаться номинальный сумма долг по государственный ценный бумага российский федерация обязательство по который выражать в валюта российский федерация объем основной долг по кредит который получать российский федерация и обязательство по который выражать в валюта российский федерация объем основной долг по бюджетный кредит получать российский федерация объем обязательство по государственный гарантия выражать в валюта российский федерация объем иной за исключение указанный долговой обязательство российский федерация оплата который в валюта российский федерация предусматривать федеральный закон до введение в действие бк рф field name english description russian description format государственный внутренний долг российский федерация Domestic government debt of the Russian Federation государственный внутренний долг российский федерация в млн рубль integer государственный гарантия российский федерация в валюта российский федерация State guarantees of the Russian Federation государственный гарантия российский федерация в валюта российский федерация в млн рубль integer дата Date дата актуальность сведение в формат ДД мм ГГГГ date 
"
14," информация об объем резервный фонд объем резервный фонд приводить согласно форма отчетность утверждать приказ министерство финансы российский федерация от май г н об утверждение форма ежеквартальный и годовой бюджетный отчетность об исполнение федеральный бюджет консолидированный бюджет российский федерация и бюджет государственный внебюджетный фонд представлять в правительство российский федерация field name english description russian description format standardversion http opendata gosmonitor ru standard год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
15," информация об объем фонд национальный благосостояние объем фонд национальный благосостояние приводить согласно форма отчетность утверждать приказ министерство финансы российский федерация от май г н об утверждение форма ежеквартальный и годовой бюджетный отчетность об исполнение федеральный бюджет консолидированный бюджет российский федерация и бюджет государственный внебюджетный фонд представлять в правительство российский федерация field name english description russian description format год year год integer отчетный период Reporting period отчетный период string значение Value значение string единица измерение Unit of measurement единица измерение string код разрез Code section код разрез string код признак Feature code код признак string 
"
16," план проведение плановый проверка саморегулируемый организация аудитор министерство финансы российский федерация содержать сведение о плановый проверка саморегулируемый организация аудитор осуществлять министерство финансы российский федерация в текущий год п п Number п п integer наименование саморегулируемый организация аудитор деятельность который подлежать проверка Name of Entity whose activities are subject to review наименование саморегулируемый организация аудитор деятельность который подлежать проверка string идентификационный номер налогоплательщик инн Taxpayer Identification Number TIN идентификационный номер налогоплательщик инн integer регистрационный номер запись о внесение сведение о саморегулируемый организация аудитор в государственный реестр саморегулируемый организация аудитор Registration number of the entry of entry of information about the self regulating organization of auditors in the state register of self regulating organizations of auditors регистрационный номер запись о внесение сведение о саморегулируемый организация аудитор в государственный реестр саморегулируемый организация аудитор string цель проведение проверка The purpose of the audit цель проведение проверка string дата начало проведение проверка Date of commencement of the audit дата начало проведение проверка string срок проведение проверка рабочий день The duration of the planned inspection working days срок проведение проверка рабочий день string форма проведение проверка документарный выездной документарный и выездной Form of examination documentary exit documentary and exit форма проведение проверка документарный выездной документарный и выездной string 
"
17," информация о результат проверка саморегулируемый организация аудитор проводить министерство финансы российский федерация информация содержать данные о саморегулируемый организация аудитор в отношение который быть осуществлять проверка министерство финансы российский федерация field name english description russian description format п п Number номер пункт список string наименование юридический лицо Name of Entity наименование юридический лицо string телефон юридический лицо Phone legal entity телефон юридический лицо string E mail юридический лицо E mail a legal entity электронный почта юридический лицо string идентификационный номер налогоплательщик инн Taxpayer Identification Number TIN идентификационный номер налогоплательщик инн string предмет проверка Object inspection предмет проверка string вид проверка плановый внеплановый Type of inspection planned unplanned вид проверка плановый внеплановый string основание проведение проверка Based on our audit основание проведение проверка string срок проверка Term test срок проверка string выявлять нарушение Violations found выявлять нарушение string принимать мера The measures taken принимать мера string количество лицо привлекать к ответственность The number of persons prosecuted количество лицо привлекать к ответственность string сумма налагать штраф Amount of fines imposed сумма налагать штраф string 
"
18," деятельность организация заниматься аудиторский деятельность информация содержать статистический данные о деятельность организация заниматься аудиторский деятельность сформировывать в соответствие с федеральный план статистический работа утверждать распоряжение правительство российский федерация от май г р field name english description russian description format показатель единица измерение Indicator unit показатель единица измерение string численность работник все по состояние на декабрь отчетный год человек The number of employees all at December of the year people численность работник все по состояние на декабрь отчетный год человек integer объем услуга всего за отчетный период тысяча рубль The volume of services all during the reporting period thousand rubles объем услуга всего за отчетный период тысяча рубль string объем услуга аудит за отчетный период тысяча рубль The volume of services AUDIO during the reporting period thousand rubles объем услуга аудит за отчетный период тысяча рубль string количество выдавать аудиторский заключение обязательный аудит всего за отчетный год единица The number of issued audit reports statutory audit only for the reporting year the unit количество выдавать аудиторский заключение обязательный аудит всего за отчетный год единица string количество выдавать аудиторский заключение обязательный аудит с выражение немодифицированный мнение за отчетный год единица The number of issued audit reports statutory audit with the expression of unmodified opinion in the reporting year the unit количество выдавать аудиторский заключение обязательный аудит с выражение немодифицированный мнение за отчетный год единица string количество выдавать аудиторский заключение обязательный аудит с выражение мнение с оговорка за отчетный год единица The number of issued audit reports statutory audit with Qualified Opinion for the reporting year the unit количество выдавать аудиторский заключение обязательный аудит с выражение мнение с оговорка за отчетный год единица string количество выдавать аудиторский заключение обязательный аудит с выражение отрицательный мнение за отчетный год единица The number of issued audit reports statutory audit with the expression of negative opinions for the reporting year the unit количество выдавать аудиторский заключение обязательный аудит с выражение отрицательный мнение за отчетный год единица string количество выдавать аудиторский заключение обязательный аудит с отказ от выражение мнение за отчетный год единица The number of issued audit reports statutory audit with a disclaimer of opinion for the financial year the unit количество выдавать аудиторский заключение обязательный аудит с отказ от выражение мнение за отчетный год единица string отчетный год Reporting year отчетный год date 
"
