0,the organization to be under the jurisdiction of the Ministry of Finance Russia list  and the function of the organization to be under the jurisdiction of the Ministry of Finance  Russia field name english description English description format name of the organization Name of the organization name of the organization to be under the jurisdiction of the Ministry of Finance Russia string head organization of the CEO  the head of the string legal address Legal address legal address legal address string code kladr KLADR Legal address the legal address of the string kladr code postal address Postal address postal address postal address string code kladr KLADR Postal address postal address code kladr string the latitude coordinate the Latitude coordinate of the latitude string longitude coordinate the Longitude coordinate of the longitude string address e mail Email address email string website WebSite the official website address organization phone Telephone string telephone number string Fax Fax Fax string task and function Functions and tasks the size of payment of work for the vacant position string 
1, the plan of control activities of the administrative Department of the Ministry of Finance of the Russian Federation a plan for the implementation of verification under the jurisdiction of the Ministry of Finance of the Russian Federation Federal state institution fgku in the course of control at the level of jurisdiction of xs element name table coll xs complexType xs sequence xs element name p p type xs string xs element name theme test type xs string xs element name number of the member of the control group accounting supervisor the employee financial control to take part in the conduct of inspection type xs string xs element name to render for the result of the verification representation about inadequate execution of the budget and the adoption of a measure on elimination to identify the violation of the budget legislation date room type xs string xs element name violation period based on the extension of the holding in check the number of unscheduled inspection day count type xs string xs element name the amount of means of the Federal budget against which to identify a violation of the budgetary legislation of the Russian Federation RUB type xs string xs element name number to identify the violation of the budget legislation of the Russian Federation type xs string xs element name number of appeal against the decision action inaction a member of the control group or the employee financial control recognized in the established order reasonable type xs string 
2, report on the controlling activities of the administrative Department of the information about the result of scheduled and unscheduled inspection to carry out the Ministry of Finance in Russia the limit of his authority and the result of the test carried out in Russia  the Ministry of Finance and its subordinate organization of the xs element name table coll xs complexType xs sequence xs element name p p type xs string xs element name theme test type xs string xs element name number of the member of the control group accounting supervisor the employee financial control to take part in the conduct of inspection type xs string xs element name to render for the result of the verification representation about inadequate execution of the budget and the adoption of a measure on elimination to identify the violation of the budget legislation date room type xs string xs element name violation period based on the extension of the holding in check the number of unscheduled inspection day count type xs string xs element name the amount of means of the Federal budget against which to identify a violation of the budgetary legislation of the Russian Federation RUB type xs string xs element name number to identify the violation of the budget legislation of the Russian Federation type xs string xs element name number of appeal against the decision action inaction a member of the control group or the employee financial control recognized in the established order reasonable type xs string 
3, expense the consolidated budget of the subject of the Russian Federation on financing of housing and utilities in part compensation for the difference between the economically justified tariff and the tariff set for the population and coverage of loss to arise in connection with the application to adjust the price for housing and communal service indicator to reflect the amount of consumption of the consolidated budget of the subject of the Russian Federation in the part of the compensation is the difference between the economically justified tariff and the tariff set for the population and coverage of loss to arise in connection with the application to adjust the price for housing and communal service field name description english russian description format time period year Time period year time period year string reporting period Reporting period reporting period string value string the unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
4, the amount to defer payables state municipal institution indicator reflecting the amount payable to the state municipal institution term performance which to pass the field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
5, debt the budget of the subject of the Russian Federation and the budget of the municipality for the enforcement of the obligation to the citizen indicator to reflect the amount of arrears of the consolidated budget of the subject of the Russian Federation on the fulfillment of the obligation to the citizen the period of performance which to pass the field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
6, the share of tax and non tax revenue budget of the municipal district in a total volume of income of the budget of a municipal district without regard to the subsidy figure to reflect the share of tax and non tax revenue budget of the municipal district in total own revenue budget of the municipal district field name description english russian description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
7, expense the consolidated budget of the subject of the Russian Federation in the part of consumption on payment of the labour of the worker organ of state power and local self government index to reflect the volume flow rate consolidated budget of the subject of the Russian Federation on payment of the labour of the worker organ of state power and local self government field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
8, indicator to reflect the consumption of the consolidated budget of the subject of the Russian Federation on the implementation of the program of energy saving and increasing energy efficiency of consumption of the consolidated budget of the subject of the Russian Federation on the implementation of the program in the area of energy saving and increasing energy efficiency field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
9, the consumption share of the consolidated budget of the subject of the Russian Federation to form in the frame of the program to total expense  the consolidated budget of subject of Russian Federation without regard to the subvention for the performance of delegate entitlement figure to reflect the share of program expense  the consolidated budget of the subject of the Russian Federation field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
10, the consumption share of the consolidated budget of the subject of the Russian Federation for funding the social service field to provide an Autonomous institution and non state amunicipality organization in the total volume flow rate consolidated budget of the subject of the Russian Federation on financing of the sector social services the figure to reflect the share of consumption of the consolidated budget of the subject of the Russian Federation to provide an Autonomous institution and non state amunicipality organization funding service social services field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
11, the consumption share of the consolidated budget of the subject of the Russian Federation for the provision of fiscal services to provide non state amunicipality organization in the total volume flow rate consolidated budget of the subject of the Russian Federation on financing of the fiscal service indicator to reflect the consumption share of the consolidated budget of the RF subject to provide non state amunicipality organization for the provision of fiscal services field name english description English description format year year year integer reporting period Reporting period reporting period value value string value string unit of measurement Unit of measurement unit of measurement code string Code code section incision incision string code Feature code symptom code symptom string 
